Date,Product,Region,Units_Sold,Revenue,Profit
2026-02-26,MDF Board,East,29,52641,10006
2026-07-19,MDF Board,South,27,63158,9921
2025-09-11,Plywood Premium,West,57,107638,18592
2025-03-01,Laminate Classic,East,18,29346,7369
2026-12-16,Plywood Premium,West,57,72508,28019
2026-11-25,Veneer Sheet,West,30,34901,6687
2025-05-15,Plywood Premium,West,41,101648,24522
2026-09-28,Plywood Premium,North,22,49978,11045
2025-10-13,Laminate Classic,South,29,33220,7660
2025-02-08,Plywood Premium,West,44,78163,23716
2025-02-27,Plywood Premium,North,26,59090,10860
2026-09-18,Plywood Premium,West,59,96039,26351
2025-02-04,Laminate Classic,East,27,27068,5766
2025-07-30,Veneer Sheet,North,26,47692,8141
2026-06-29,Plywood Premium,North,30,54655,11572
2026-03-14,Plywood Premium,North,23,77784,11981
2027-01-04,Plywood Premium,North,37,53251,15392
2025-07-29,Veneer Sheet,North,34,42577,6689
2025-02-19,Plywood Premium,North,23,76159,17250
2026-01-30,MDF Board,South,48,67925,11537
2026-03-06,Veneer Sheet,North,28,31363,6797
2026-02-09,Plywood Premium,West,33,84481,26907
2025-02-26,Veneer Sheet,North,29,42457,7361
2026-04-30,Plywood Premium,North,25,58057,11830
2026-09-25,Plywood Premium,West,51,116021,30399
2026-06-13,Laminate Classic,East,16,37871,7006
2025-01-30,MDF Board,East,35,43880,13003
2026-11-30,Veneer Sheet,North,20,49078,9232
2025-11-21,MDF Board,East,40,60358,8943
2025-05-06,Laminate Classic,East,28,39979,8830
2025-01-30,MDF Board,South,35,44602,9281
2026-02-27,Veneer Sheet,West,25,34802,8392
2026-09-25,MDF Board,East,47,51251,12755
2025-07-27,Veneer Sheet,West,27,30152,10528
2026-11-08,Veneer Sheet,West,24,31600,8229
2025-04-03,Plywood Premium,North,34,66862,15692
2026-08-10,Laminate Classic,South,25,37437,8660
2026-10-11,Laminate Classic,South,14,29681,6562
2025-09-09,Plywood Premium,West,51,71840,26613
2025-11-15,MDF Board,East,42,56761,13603
2025-04-22,Laminate Classic,South,23,38547,6556
2025-05-31,MDF Board,East,27,42512,12081
2025-09-28,Laminate Classic,South,25,24943,7553
2026-06-30,Plywood Premium,North,31,64110,9825
2025-02-04,Laminate Classic,East,27,29392,5978
2025-12-21,Veneer Sheet,North,31,35589,6418
2026-01-07,Laminate Classic,East,16,37343,6865
2025-08-17,Plywood Premium,West,46,98059,22310
2026-06-08,MDF Board,South,34,60406,12244
2026-03-10,Laminate Classic,South,26,37857,7269
2026-11-24,Plywood Premium,North,30,64485,16777
2025-12-01,MDF Board,South,36,51762,10041
2026-09-15,Plywood Premium,West,48,96070,20444
2025-08-01,Veneer Sheet,North,30,43630,9197
2026-08-24,Plywood Premium,West,54,96106,22209
2026-11-24,MDF Board,East,35,48571,11250
2026-09-24,Plywood Premium,West,58,71733,27492
2026-08-18,Veneer Sheet,North,19,37780,8829
2025-01-22,Laminate Classic,East,21,30035,5505
2027-01-01,Veneer Sheet,North,27,41704,7175
2026-02-07,MDF Board,East,30,42693,9097
2025-12-16,Plywood Premium,North,18,56474,10962
2026-05-09,MDF Board,East,35,48592,11879
2025-08-08,Veneer Sheet,West,33,38378,7013
2025-07-03,MDF Board,South,31,48411,11948
2026-07-14,Veneer Sheet,North,30,41827,9866
2026-02-21,Laminate Classic,East,19,28797,6578
2025-10-22,Laminate Classic,East,19,33926,5376
2026-05-09,Laminate Classic,South,23,40212,7208
2026-12-05,Laminate Classic,South,15,34767,8359
2025-04-05,MDF Board,South,35,70530,13885
2026-09-04,Laminate Classic,East,23,40072,8412
2026-09-11,Plywood Premium,West,51,99088,21649
2026-09-24,Veneer Sheet,North,19,33770,10897
2026-03-15,MDF Board,East,36,57163,11178
2025-10-23,MDF Board,South,44,62036,13019
2026-11-08,Veneer Sheet,West,24,40362,8062
2025-10-30,Plywood Premium,North,23,43456,11873
2026-03-24,Veneer Sheet,North,19,36501,7068
2025-10-21,Laminate Classic,South,21,34532,6877
2026-10-14,Veneer Sheet,West,23,32882,11151
2025-06-14,Plywood Premium,West,44,95680,18892
2026-11-03,Laminate Classic,South,15,26951,5188
2025-11-22,Plywood Premium,North,21,57935,15792
2025-10-23,Veneer Sheet,North,30,43282,8510
2025-03-18,Plywood Premium,North,29,67317,15665
2025-09-24,MDF Board,South,38,62644,15187
2025-06-15,Plywood Premium,North,34,50395,13328
2026-08-13,Plywood Premium,North,44,59028,17965
2026-03-28,MDF Board,South,34,67733,12976
2026-12-21,Laminate Classic,South,19,32780,7619
2025-08-17,Plywood Premium,West,40,122959,25365
2025-05-05,Plywood Premium,North,32,62564,14914
2025-09-21,Veneer Sheet,North,32,50785,10211
2026-10-10,Plywood Premium,West,57,92608,24060
2025-06-15,Veneer Sheet,North,29,36926,8481
2025-10-07,Plywood Premium,North,38,67773,17042
2025-12-04,MDF Board,East,28,45255,9582
2025-01-28,Veneer Sheet,North,16,27656,6400
2026-02-27,MDF Board,East,26,53954,10879
2026-06-14,Plywood Premium,North,30,60237,11866
2025-02-19,Veneer Sheet,West,26,48596,7266
2025-04-07,Veneer Sheet,West,31,37256,8662
2025-10-20,Laminate Classic,South,20,25736,7732
2026-04-10,Laminate Classic,East,19,36321,7185
2026-02-16,MDF Board,South,49,58614,11713
2026-01-18,Laminate Classic,East,25,39797,6632
2025-12-12,Laminate Classic,East,24,39537,5266
2025-11-02,MDF Board,East,38,48913,11434
2025-06-22,Laminate Classic,East,25,33518,6953
2026-07-02,Plywood Premium,West,36,96909,20417
2025-01-21,MDF Board,East,42,47615,12517
2025-09-25,Laminate Classic,South,15,36023,6339
2026-04-26,Laminate Classic,South,18,23069,5024
2026-11-25,Plywood Premium,West,57,92867,28015
2026-07-15,MDF Board,East,36,47082,12989
2026-10-26,Plywood Premium,West,49,86370,22430
2026-10-05,Plywood Premium,North,34,69347,11877
2025-05-24,Laminate Classic,East,28,33757,9675
2026-05-08,Plywood Premium,North,25,66423,13646
2026-04-17,Laminate Classic,South,16,33706,7575
2026-10-22,Plywood Premium,North,41,57545,12786
2025-03-17,Plywood Premium,North,34,51097,10746
2026-10-02,Plywood Premium,North,44,71830,13751
2025-12-18,Plywood Premium,West,42,97013,24790
2025-01-25,Plywood Premium,North,39,67310,16176
2026-07-31,Plywood Premium,North,36,76647,19971
2025-10-21,Laminate Classic,South,20,34027,7332
2025-03-13,Laminate Classic,East,27,25477,5909
2025-02-16,Veneer Sheet,North,25,33698,7548
2025-12-13,Laminate Classic,South,25,27795,6534
2025-10-25,Veneer Sheet,North,26,35558,9048
2026-12-17,Plywood Premium,North,33,76344,19778
2026-07-05,Veneer Sheet,North,23,43216,8919
2026-08-21,Veneer Sheet,North,23,27626,9355
2025-10-08,MDF Board,East,28,63867,10689
2025-05-06,MDF Board,South,49,59111,9825
2025-08-13,Veneer Sheet,North,25,42504,6555
2026-03-16,Laminate Classic,East,25,33729,8541
2025-06-03,Plywood Premium,North,24,83149,18022
2025-02-26,Plywood Premium,North,29,61407,9809
2026-10-03,Laminate Classic,South,28,28376,5419
2026-12-25,Laminate Classic,South,17,38656,7902
2027-01-19,MDF Board,East,39,62351,8970
2026-05-09,Plywood Premium,West,61,115634,21532
2025-04-15,Laminate Classic,South,19,31816,7860
2025-07-30,Plywood Premium,North,21,51707,15757
2025-08-11,Laminate Classic,East,16,25664,5827
2026-05-26,Veneer Sheet,West,29,39864,6226
2026-12-19,MDF Board,South,44,59451,10488
2025-07-20,Veneer Sheet,North,30,46974,7098
2025-08-25,Plywood Premium,North,29,75656,16107
2025-04-01,Plywood Premium,West,43,79829,17164
2026-12-06,MDF Board,East,27,39761,9943
2025-12-04,Laminate Classic,East,26,29098,8431
2026-08-03,Plywood Premium,West,35,93051,17832
2025-01-18,MDF Board,East,24,54768,7549
2026-05-20,Plywood Premium,North,35,64053,19792
2025-12-02,Veneer Sheet,North,24,49495,8883
2026-01-25,Laminate Classic,South,23,24150,7024
2026-07-30,MDF Board,East,29,45512,12446
2026-01-24,Plywood Premium,North,24,61689,14232
2025-10-19,Laminate Classic,East,29,25425,7553
2025-07-25,Laminate Classic,South,17,37685,8721
2025-06-20,Laminate Classic,East,22,32257,5555
2026-02-22,Laminate Classic,South,24,27145,8333
2026-05-06,Laminate Classic,South,14,35035,6774
2026-06-08,Plywood Premium,West,48,92863,18389
2026-07-01,Veneer Sheet,North,24,45339,6992
2026-05-18,Plywood Premium,North,23,54847,13648
2026-07-23,MDF Board,South,26,51808,12796
2025-06-03,MDF Board,East,24,36175,12018
2025-12-30,Laminate Classic,East,17,26445,7067
2025-11-12,Veneer Sheet,North,31,38395,10351
2025-01-18,Veneer Sheet,North,33,42351,9353
2026-01-26,Laminate Classic,East,15,30971,7276
2026-09-12,MDF Board,East,49,69671,12389
2025-11-03,Laminate Classic,East,17,25600,5261
2026-11-16,MDF Board,East,32,37707,11689
2026-04-06,Veneer Sheet,West,21,38802,9694
2026-06-02,Veneer Sheet,West,24,36044,9153
2025-04-07,MDF Board,South,31,51539,11316
2025-06-16,Plywood Premium,West,34,82214,24941
2025-10-06,Laminate Classic,South,17,28781,6021
2026-01-06,Plywood Premium,North,28,56768,13338
2026-08-17,Plywood Premium,North,22,54312,13401
2026-12-12,Plywood Premium,West,39,78916,23673
2025-04-18,MDF Board,South,39,69167,9706
2026-04-20,Plywood Premium,North,30,55937,13646
2026-03-30,Veneer Sheet,North,25,44250,10996
2026-09-08,Laminate Classic,South,27,34369,6115
2026-09-24,Laminate Classic,East,22,38309,9249
2025-07-19,Plywood Premium,North,36,56060,10954
2025-03-07,Laminate Classic,South,13,26732,5714
2025-08-14,Laminate Classic,South,18,26350,8591
2025-05-29,Plywood Premium,North,28,48426,12210
2026-06-11,Laminate Classic,South,16,33244,6956
2026-07-29,Plywood Premium,North,37,65470,13272
2025-09-11,Laminate Classic,South,16,37721,5126
2026-01-20,Laminate Classic,South,16,35760,6584
2026-10-15,Plywood Premium,North,23,72118,18215
2026-08-03,Laminate Classic,South,17,26289,8226
2025-12-22,Veneer Sheet,North,26,39965,11332
2025-12-24,Laminate Classic,South,21,34273,7100
2026-01-21,MDF Board,South,35,43877,10822
2026-03-04,Veneer Sheet,North,24,42809,10823
2025-12-16,MDF Board,East,35,47473,13423
2025-03-21,MDF Board,South,43,52342,10258
2026-12-20,MDF Board,East,34,54069,12250
2025-02-09,Plywood Premium,North,37,54191,15821
2025-05-30,Laminate Classic,South,18,32845,8054
2025-03-22,Veneer Sheet,North,30,44337,11904
2026-06-21,Plywood Premium,North,36,75654,14123
2025-11-11,Veneer Sheet,North,31,48950,9558
2025-02-14,Laminate Classic,South,17,23359,5786
2026-03-15,Laminate Classic,East,15,28654,7981
2026-05-10,Veneer Sheet,North,29,48260,8845
2026-05-10,Laminate Classic,South,21,34334,8968
2025-04-10,Laminate Classic,East,24,33218,8518
2026-05-23,Plywood Premium,West,54,64826,26548
2025-09-06,Laminate Classic,South,19,31234,8509
2026-07-17,Veneer Sheet,West,25,37375,10315
2026-03-06,Veneer Sheet,North,29,37077,10526
2026-05-20,MDF Board,East,40,43560,12384
2025-06-01,MDF Board,East,26,38463,10716
2026-11-04,Laminate Classic,South,21,25480,7848
2026-10-07,Laminate Classic,East,17,31211,6821
2025-11-23,Veneer Sheet,North,24,35837,10393
2025-10-25,Laminate Classic,East,22,37470,6163
2026-01-17,Veneer Sheet,North,21,35553,7666
2025-03-16,Plywood Premium,North,31,56048,18201
2025-10-31,Laminate Classic,East,26,39440,5479
2025-05-08,MDF Board,East,37,45567,10245
2025-09-26,Veneer Sheet,West,23,44615,10417
2025-07-30,Veneer Sheet,North,34,43825,8117
2026-08-04,Laminate Classic,South,23,40718,6110
2025-10-13,Laminate Classic,East,17,38641,9458
2026-02-23,MDF Board,East,50,68782,14729
2026-06-14,MDF Board,East,37,56661,14087
2026-08-09,MDF Board,East,37,43623,8554
2026-10-20,MDF Board,East,45,55751,12334
2026-10-04,MDF Board,South,34,58154,10661
2026-02-08,Plywood Premium,West,50,106591,22584
2025-05-04,Plywood Premium,West,34,81502,23654
2026-10-27,Veneer Sheet,West,31,40961,6338
2026-07-04,Veneer Sheet,West,29,44441,10483
2025-03-08,Veneer Sheet,North,17,30309,8510
2026-10-29,Plywood Premium,North,33,60971,15113
2026-10-11,MDF Board,East,34,58194,10702
2026-05-22,Plywood Premium,West,51,74074,24328
2025-06-23,Laminate Classic,South,23,31293,6363
2025-08-19,Plywood Premium,West,46,92862,25354
2025-10-20,Laminate Classic,East,31,42570,8955
2025-07-16,Laminate Classic,South,21,30939,5149
2025-04-27,MDF Board,South,45,61151,15338
2025-09-29,Plywood Premium,West,53,73798,23756
2025-03-07,Plywood Premium,North,38,60262,18038
2025-11-23,Plywood Premium,West,41,102815,20382
2026-12-16,MDF Board,East,36,57272,14938
2026-11-03,Veneer Sheet,North,30,49876,9142
2025-05-23,Laminate Classic,East,23,30430,5732
2026-05-24,Veneer Sheet,North,23,41799,8635
2025-05-12,Laminate Classic,East,16,34980,6253
2026-02-13,Veneer Sheet,North,21,36778,9011
2025-11-02,MDF Board,East,28,47471,11735
2026-05-01,Plywood Premium,West,58,103431,24089
2025-04-13,Laminate Classic,South,17,34238,4698
2025-06-05,Plywood Premium,North,40,72117,12476
2025-11-22,MDF Board,South,46,48002,14845
2026-05-08,Plywood Premium,West,58,81612,28336
2026-07-02,Veneer Sheet,West,31,42169,7989
2025-11-16,Laminate Classic,East,21,39847,6502
2026-07-25,MDF Board,East,21,39792,7683
2025-10-23,Plywood Premium,North,25,75335,15494
2025-04-13,Laminate Classic,South,17,28539,5221
2025-11-17,Laminate Classic,South,18,37049,7234
2026-04-14,Veneer Sheet,North,30,35529,9153
2025-01-15,MDF Board,South,48,69193,14678
2025-05-08,Plywood Premium,North,33,63817,11780
2025-02-24,Laminate Classic,South,24,26503,8462
2025-12-16,Laminate Classic,East,18,26456,8515
2025-12-13,Veneer Sheet,North,26,33829,11035
2026-02-07,Laminate Classic,South,22,37922,6943
2026-09-21,Laminate Classic,South,21,30216,8051
2025-11-15,MDF Board,South,33,62360,13109
2025-03-12,Laminate Classic,East,14,29436,7752
2025-11-30,Laminate Classic,South,18,29052,7090
2026-02-16,MDF Board,East,49,63452,14441
2025-02-05,Laminate Classic,South,18,26902,6718
2026-03-17,MDF Board,East,31,64001,14249
2026-11-21,Plywood Premium,North,28,56802,11166
2025-04-26,Laminate Classic,East,21,30321,7022
2025-02-11,Veneer Sheet,North,37,53481,8896
2025-10-29,Plywood Premium,North,27,54122,11552
2026-10-10,Laminate Classic,East,28,30194,8932
2026-07-28,MDF Board,East,25,60256,13128
2026-04-17,Veneer Sheet,West,26,30603,9223
2025-09-26,Plywood Premium,North,35,64938,19945
2026-02-23,Laminate Classic,South,23,36143,6851
2025-11-08,MDF Board,South,28,65617,11009
2025-08-18,Plywood Premium,West,35,78550,22108
2026-10-09,MDF Board,East,49,69103,10061
2026-09-05,Veneer Sheet,North,27,40702,7431
2025-05-04,Veneer Sheet,West,18,35617,9216
2026-12-10,MDF Board,East,25,47227,8035
2025-01-22,MDF Board,East,45,63364,13101
2025-10-25,MDF Board,South,41,59198,12223
2025-11-21,Plywood Premium,North,32,57502,13121
2025-07-29,Plywood Premium,West,53,87838,20133
2025-10-11,Veneer Sheet,North,31,45867,8943
2026-06-01,MDF Board,South,50,66805,13350
2025-05-25,Laminate Classic,East,29,29518,5927
2025-10-16,MDF Board,East,27,69619,12685
2025-02-17,Veneer Sheet,West,27,31825,9498
2025-04-04,Laminate Classic,East,21,37127,6026
2025-02-15,Plywood Premium,North,23,55216,16986
2025-07-12,Laminate Classic,East,20,34479,8041
2026-05-15,Veneer Sheet,West,20,48227,9188
2026-02-23,Veneer Sheet,North,24,44909,7510
2025-02-11,Plywood Premium,West,48,86383,19138
2026-11-06,Veneer Sheet,West,22,30455,9225
2025-08-30,Laminate Classic,South,14,29870,4839
2026-04-28,Plywood Premium,North,20,51783,17339
2026-01-21,Plywood Premium,North,24,77476,15687
2025-03-10,Laminate Classic,East,24,35939,9153
2026-03-24,Plywood Premium,North,32,55146,15628
2025-04-18,Veneer Sheet,West,31,32471,7943
2026-03-26,Veneer Sheet,North,35,48122,8263
2026-09-01,Plywood Premium,West,60,111969,28414
2026-12-28,Plywood Premium,West,47,79984,23321
2025-03-08,Plywood Premium,North,31,64163,13117
2026-07-22,Laminate Classic,East,29,40160,7575
2026-04-17,MDF Board,South,36,52281,14292
2025-03-09,Veneer Sheet,West,25,38353,10448
2026-04-19,Veneer Sheet,West,19,35636,8801
2027-01-18,Laminate Classic,East,30,36952,8379
2025-04-24,MDF Board,East,32,49111,10464
2026-01-08,Laminate Classic,South,17,35498,5889
2025-02-18,MDF Board,East,39,39838,8317
2026-01-20,Laminate Classic,South,21,34200,5209
2026-07-29,Veneer Sheet,North,33,52363,10123
2026-10-11,MDF Board,South,46,62641,10525
2026-01-15,MDF Board,East,34,65330,13258
2025-09-03,Plywood Premium,North,36,62343,15270
2026-03-14,Veneer Sheet,West,29,46823,10533
2026-05-15,Laminate Classic,East,27,36265,6118
2026-10-16,Veneer Sheet,North,25,39542,8037
2026-12-14,Veneer Sheet,North,37,46850,9304
2025-09-24,Veneer Sheet,West,28,37795,8018
2025-11-09,Veneer Sheet,North,30,45515,8985
2026-03-31,Plywood Premium,West,60,92768,29972
2026-02-21,MDF Board,East,39,48978,11906
2026-10-24,Plywood Premium,West,35,102679,16921
2025-06-08,Veneer Sheet,North,31,26728,8186
2025-09-02,Plywood Premium,North,31,63061,13797
2025-11-30,MDF Board,South,50,50852,10534
2026-01-07,Veneer Sheet,West,23,39646,9660
2025-12-02,MDF Board,East,24,61305,13679
2026-02-25,Laminate Classic,South,21,31251,6864
2026-03-22,Veneer Sheet,North,17,41617,7267
2025-11-20,Plywood Premium,West,58,88221,22686
2026-08-18,Laminate Classic,South,20,39777,8482
2025-08-17,Veneer Sheet,North,31,34399,11248
2025-11-19,Laminate Classic,East,16,35557,8703
2026-04-06,Plywood Premium,West,54,100066,22607
2026-03-09,Plywood Premium,West,42,112247,29608
2025-10-15,MDF Board,East,42,41818,11845
2025-11-20,Laminate Classic,South,17,37624,6082
2026-08-28,Plywood Premium,West,38,107244,16425
2026-07-29,Plywood Premium,North,34,66492,13261
2025-01-23,Plywood Premium,North,25,60013,10827
2026-01-08,Plywood Premium,North,25,55269,14477
2026-05-02,Veneer Sheet,West,28,36857,9504
2026-02-24,Veneer Sheet,North,24,31940,7124
2025-03-15,Veneer Sheet,West,36,46420,7838
2025-12-09,Laminate Classic,East,25,30051,8445
2026-09-18,Veneer Sheet,West,33,34259,6190
2025-03-10,Laminate Classic,South,15,25443,7255
2026-06-16,Veneer Sheet,West,24,43341,9704
2026-03-05,Plywood Premium,North,32,69444,17316
2025-10-24,MDF Board,South,46,42056,10760
2026-07-18,Veneer Sheet,West,25,42930,9467
2026-09-28,Plywood Premium,West,52,85580,19890
2026-07-23,MDF Board,East,37,39673,9406
2026-02-18,MDF Board,East,25,62605,12823
2026-12-05,Laminate Classic,East,29,29604,5798
2025-08-21,Veneer Sheet,North,35,50488,11280
2026-02-14,Veneer Sheet,West,25,45882,10068
2025-07-06,MDF Board,East,33,51595,12608
2026-07-27,Plywood Premium,North,29,56283,13011
2025-12-18,Laminate Classic,South,23,29266,4651
2025-11-06,Plywood Premium,North,37,60561,17823
2025-09-01,Plywood Premium,North,23,44839,12988
2025-06-30,Plywood Premium,West,39,107652,25723
2026-07-10,MDF Board,South,36,61576,9605
2025-03-08,Laminate Classic,East,22,40481,9059
2026-06-04,Plywood Premium,West,36,99578,26992
2026-11-13,Laminate Classic,East,28,30920,6272
2026-06-28,MDF Board,South,36,51041,12829
2025-03-05,Laminate Classic,East,26,38593,5915
2026-05-14,MDF Board,East,42,56052,15482
2026-06-25,Laminate Classic,South,27,36525,8396
2026-09-07,Laminate Classic,East,23,31943,7000
2026-10-19,Veneer Sheet,West,24,37097,6098
2025-06-23,Plywood Premium,North,30,64289,17756
2026-11-11,Plywood Premium,North,22,46258,13657
2025-07-23,Laminate Classic,East,30,39376,6300
2026-06-12,Laminate Classic,East,29,31791,7345
2026-05-30,Plywood Premium,North,36,70432,13070
2026-12-06,MDF Board,South,29,62886,9747
2026-11-20,Plywood Premium,North,36,59741,11268
2026-06-02,MDF Board,East,43,56104,13177
2026-06-16,MDF Board,East,39,59133,10681
2026-04-17,MDF Board,East,26,43911,13725
2026-01-24,MDF Board,South,48,57904,12262
2027-01-12,MDF Board,South,28,52815,14817
2026-08-14,Veneer Sheet,West,30,44630,7774
2025-01-13,Veneer Sheet,North,24,38607,8215
2026-10-15,Plywood Premium,North,39,47309,11150
2026-05-10,Laminate Classic,East,30,35284,8485
2027-01-24,Laminate Classic,East,17,37501,9087
2025-07-16,Laminate Classic,South,18,35936,6185
2026-05-22,Veneer Sheet,West,33,39458,9934
2025-08-02,Plywood Premium,West,31,74376,19670
2025-10-07,Laminate Classic,South,29,38831,6310
2026-06-07,Veneer Sheet,North,28,40326,7024
2026-03-25,MDF Board,East,27,53411,13524
2025-08-11,Plywood Premium,North,34,42947,15899
2026-03-16,Laminate Classic,South,18,25934,7977
2026-12-12,Veneer Sheet,West,24,45513,8833
2026-04-20,Laminate Classic,South,23,25607,5775
2025-11-28,Veneer Sheet,North,36,52174,11362
2025-08-01,Plywood Premium,North,38,60295,19495
2025-03-01,Veneer Sheet,West,26,34591,6360
2026-01-20,Laminate Classic,East,26,31228,7071
2026-02-27,Veneer Sheet,North,25,34577,5325
2025-11-03,Laminate Classic,East,25,27903,7240
2026-05-17,Veneer Sheet,North,22,44095,11022
2025-02-15,MDF Board,South,31,62403,15018
2025-10-11,MDF Board,South,48,59289,14173
2026-10-01,MDF Board,East,40,64827,11366
2026-07-29,Plywood Premium,West,64,121591,25165
2025-06-29,Laminate Classic,East,16,34225,5197
2026-05-27,MDF Board,South,32,60752,8617
2027-01-03,Plywood Premium,West,46,93126,20855
2026-12-25,Plywood Premium,North,35,73427,16909
2026-11-19,Laminate Classic,East,26,39016,5955
2025-08-26,Laminate Classic,South,21,27844,6936
2026-07-28,Laminate Classic,East,23,33970,9381
2025-07-12,MDF Board,East,46,66000,12552
2025-04-25,Veneer Sheet,North,30,33530,7513
2026-02-10,Laminate Classic,South,23,32610,5296
2027-01-08,Veneer Sheet,North,27,44326,7335
2025-08-05,Plywood Premium,North,26,69138,11738
2026-08-23,Plywood Premium,North,26,54138,12454
2025-04-12,MDF Board,East,42,53140,9061
2026-04-05,MDF Board,South,36,67052,9883
2026-05-01,Laminate Classic,East,17,32797,6200
2026-11-01,Veneer Sheet,North,24,50542,6572
2026-12-08,Laminate Classic,South,15,32550,7663
2026-03-11,Plywood Premium,North,25,55456,11451
2025-01-19,MDF Board,East,42,38166,11035
2026-01-07,MDF Board,South,38,59382,9017
2026-05-18,MDF Board,South,50,65547,15735
2025-10-10,Laminate Classic,East,19,28278,5146
2025-07-29,Laminate Classic,South,15,38953,5920
2025-11-09,Plywood Premium,North,26,74603,15970
2026-08-06,Plywood Premium,North,24,61309,14447
2026-01-15,MDF Board,East,31,43438,12765
2026-07-28,MDF Board,East,27,43084,8917
2025-11-27,Plywood Premium,West,46,98082,28717
2026-01-09,MDF Board,South,36,42403,11065
2025-09-10,Laminate Classic,South,22,24996,7055
2026-07-05,Veneer Sheet,North,25,46775,6853
2025-05-04,Veneer Sheet,North,33,37507,7976
2026-12-22,Veneer Sheet,West,20,47781,7256
2025-09-21,Veneer Sheet,West,31,39657,7407
2026-12-18,Laminate Classic,East,16,32792,8635
2025-11-08,Veneer Sheet,North,22,49901,8937
2025-01-11,MDF Board,East,36,52255,8010
2025-03-27,Laminate Classic,East,15,36479,6505
2026-08-04,Veneer Sheet,West,23,41531,9224
2025-05-11,Laminate Classic,South,19,27769,7491
2026-02-26,Veneer Sheet,West,24,45698,6479
2026-05-19,Laminate Classic,South,26,24062,5734
2025-12-13,Plywood Premium,West,52,92229,23869
2025-11-02,Laminate Classic,South,16,38323,7979
2026-09-10,MDF Board,East,42,55207,9146
2026-09-29,Plywood Premium,West,47,74485,29763
2026-11-05,Laminate Classic,South,25,33173,5205
2025-11-23,MDF Board,East,47,57355,10205
2026-02-23,Veneer Sheet,North,26,37572,9275
2025-10-05,Laminate Classic,East,23,39216,7756
2026-01-14,Plywood Premium,West,46,111088,20811
2025-08-31,Laminate Classic,East,30,37733,9241
2025-10-31,Laminate Classic,South,13,28363,5850
2026-04-08,Veneer Sheet,North,28,31030,7589
2025-02-21,Veneer Sheet,West,32,41365,10822
2025-08-08,Veneer Sheet,West,19,39497,6572
2025-08-22,Veneer Sheet,West,19,45893,9053
2025-11-17,Plywood Premium,North,22,66665,15966
2026-06-17,Plywood Premium,West,51,77600,26253
2026-10-08,MDF Board,East,23,45806,10835
2025-06-02,Laminate Classic,East,21,34418,5091
2025-03-10,Plywood Premium,West,48,74276,17102
2026-11-02,Laminate Classic,South,23,28101,6413
2025-12-04,Veneer Sheet,West,20,31101,7500
2025-04-12,Plywood Premium,North,36,76476,17156
2025-01-10,Laminate Classic,East,16,33714,8500
2026-04-12,Veneer Sheet,North,20,47278,7843
2026-05-10,Laminate Classic,East,26,36839,5660
2025-03-18,Plywood Premium,West,55,99126,31982
2025-04-21,Laminate Classic,East,16,35898,7190
2026-07-18,Laminate Classic,South,27,36075,5772
2026-03-24,Plywood Premium,West,29,75869,22015
2026-07-01,Veneer Sheet,North,21,46020,11385
2026-02-23,Plywood Premium,West,28,73712,18885
2026-01-27,MDF Board,South,51,72651,14945
2026-03-21,MDF Board,East,48,69705,11040
2026-03-17,Laminate Classic,East,25,30828,5541
2026-10-21,MDF Board,East,33,58711,12143
2025-07-16,Plywood Premium,West,37,84947,20824
2026-08-07,MDF Board,East,31,42565,13626
2026-12-01,Laminate Classic,East,24,26107,6394
2026-04-22,MDF Board,East,26,60544,7892
2025-11-29,Laminate Classic,South,19,36292,6131
2026-11-09,Laminate Classic,East,25,32779,7129
2025-07-10,Plywood Premium,North,20,46004,17172
2026-09-23,Veneer Sheet,North,25,40412,7267
2026-01-14,Veneer Sheet,West,29,33429,8708
2025-11-27,MDF Board,East,27,55877,10515
2025-12-11,MDF Board,East,26,59273,12133
2025-06-19,Laminate Classic,South,15,27610,8296
2026-05-26,Veneer Sheet,West,34,49220,9794
2025-01-22,Laminate Classic,South,26,32815,4806
2025-05-12,Plywood Premium,West,47,92715,24522
2026-08-14,Plywood Premium,North,26,60778,9111
2025-10-22,Plywood Premium,North,18,50450,9617
2025-08-20,Veneer Sheet,North,23,43494,9078
2025-06-26,Plywood Premium,West,46,96417,27396
2025-05-08,Plywood Premium,North,31,74017,11613
2025-12-01,Plywood Premium,North,20,59187,14396
2025-07-29,Plywood Premium,North,20,54887,12235
2025-01-05,Plywood Premium,North,24,42704,10812
2025-06-01,Plywood Premium,West,61,78403,19312
2025-03-18,Veneer Sheet,West,24,41131,9090
2026-04-17,Veneer Sheet,North,37,51912,8943
2026-02-22,MDF Board,South,26,59602,14113
2026-03-07,Veneer Sheet,North,24,38642,9527
2025-02-27,MDF Board,South,39,67529,9758
2025-05-06,MDF Board,South,45,66737,14288
2026-10-30,Laminate Classic,East,22,30154,7957
2025-03-17,Plywood Premium,North,34,72501,12333
2026-03-03,Plywood Premium,West,56,88298,26786
2026-11-14,MDF Board,South,46,59172,10919
2025-12-02,Plywood Premium,North,26,61518,15862
2025-11-07,Plywood Premium,West,55,106185,22413
2026-05-12,Veneer Sheet,North,20,49853,8253
2025-03-21,Veneer Sheet,North,20,50400,9988
2026-04-02,Veneer Sheet,West,32,37950,7970
2026-07-23,Laminate Classic,South,22,34411,7884
2026-02-28,Plywood Premium,West,41,112499,26165
2025-04-06,Laminate Classic,South,24,36223,5454
